No;Komoditas (Rp);01/2025;02/2025;03/2025;04/2025;05/2025;06/2025;07/2025;08/2025;09/2025;10/2025;11/2025;12/2025;01/2026;02/2026
I;Semua Provinsi;15,050;15,250;15,250;15,300;15,300;15,450;15,700;15,950;15,950;15,900;15,750;15,700;15,750;15,750
II;Aceh;13,800;13,750;13,750;13,750;13,850;14,050;14,500;15,550;15,200;14,850;14,600;14,500;15,100;15,350
III;Sumatera Utara;13,700;13,700;13,950;13,950;14,050;14,250;14,400;15,000;14,900;14,650;14,550;14,700;15,100;15,050
IV;Sumatera Barat;-;17,100;17,100;17,100;17,000;16,900;16,900;17,050;17,150;17,100;17,050;17,600;18,200;18,250
V;Riau;-;15,950;16,050;16,050;16,050;16,100;16,350;16,300;16,300;16,300;16,300;16,250;16,350;16,350
VI;Kepulauan Riau;15,150;15,200;15,200;15,100;15,150;15,100;15,100;15,200;15,150;15,150;14,950;14,950;15,350;15,450
VII;Jambi;15,050;15,050;15,050;15,050;15,050;15,250;15,400;15,400;15,400;15,400;15,400;15,400;15,400;15,400
VIII;Bengkulu;15,150;15,150;15,300;15,300;15,300;15,350;15,500;15,650;15,650;15,550;15,500;15,550;15,500;15,500
IX;Sumatera Selatan;14,850;14,950;14,950;14,950;14,950;15,200;15,200;15,500;15,500;15,500;15,500;15,500;15,500;15,500
X;Kepulauan Bangka Belitung;-;15,050;15,050;15,000;15,000;15,250;15,250;15,400;15,300;15,350;15,300;15,300;15,300;15,150
XI;Lampung;14,550;14,500;14,550;14,750;14,550;14,500;14,650;14,750;14,750;14,850;14,750;14,600;14,700;14,750
XII;Banten;14,800;15,150;14,850;14,850;14,500;14,600;15,200;15,700;15,500;15,500;15,050;14,950;14,950;14,950
XIII;Jawa Barat;14,600;14,600;14,550;14,600;14,600;14,650;14,750;14,800;14,850;14,900;14,850;14,800;14,800;14,850
XIV;DKI Jakarta;-;15,700;15,700;15,700;15,650;15,800;16,100;16,200;16,300;16,350;16,300;16,300;16,300;16,500
XV;Jawa Tengah;14,450;14,550;14,600;14,750;14,700;14,800;14,900;14,950;15,100;15,100;15,050;15,050;14,950;15,050
XVI;DI Yogyakarta;14,150;14,150;14,300;14,300;14,300;14,300;14,450;14,450;14,450;14,200;14,200;14,200;14,200;14,200
XVII;Jawa Timur;14,050;14,150;14,200;14,250;14,200;14,450;14,550;14,700;14,800;14,800;14,700;14,600;14,550;14,550
XVIII;Bali;15,000;15,150;15,350;15,350;15,300;15,450;15,600;15,600;15,500;15,500;15,450;15,400;15,400;15,400
XIX;Nusa Tenggara Barat;13,750;13,950;13,850;13,900;13,850;13,800;13,950;14,000;13,900;13,950;13,950;13,850;13,850;13,850
XX;Nusa Tenggara Timur;15,450;15,400;15,400;15,400;15,450;15,300;15,250;15,300;15,400;15,450;15,350;15,350;15,300;15,300
XXI;Kalimantan Barat;16,000;16,500;16,500;16,550;16,250;16,300;16,400;16,400;16,400;16,400;16,400;16,550;16,600;16,250
XXII;Kalimantan Selatan;17,350;16,900;17,100;17,100;17,100;17,150;17,200;17,300;17,450;17,450;17,450;17,550;17,550;17,750
XXIII;Kalimantan Tengah;18,100;17,450;17,450;17,650;17,500;17,500;17,500;17,550;17,400;17,500;17,600;17,550;17,900;17,850
XXIV;Kalimantan Timur;15,950;15,950;16,000;16,000;15,900;16,050;16,400;16,450;16,500;16,550;16,350;16,250;16,200;16,050
XXV;Kalimantan Utara;16,500;16,550;16,550;16,550;16,600;16,600;16,750;17,050;17,450;17,300;17,300;17,250;17,250;17,350
XXVI;Gorontalo;14,550;14,650;14,750;14,750;14,750;15,050;15,800;16,800;16,900;16,650;16,250;15,650;15,350;15,200
XXVII;Sulawesi Selatan;13,400;13,500;13,550;13,550;13,550;13,600;13,700;14,450;14,350;14,300;14,200;14,100;14,250;14,200
XXVIII;Sulawesi Tenggara;14,700;14,900;15,000;15,100;15,150;15,600;15,950;16,450;16,450;16,300;15,700;15,600;15,500;15,500
XXIX;Sulawesi Tengah;14,800;14,600;14,600;14,550;14,450;14,650;15,250;16,800;16,700;16,350;15,600;15,400;15,350;15,300
XXX;Sulawesi Utara;14,100;14,050;14,100;14,150;14,450;15,000;16,300;16,600;16,550;16,450;16,050;14,900;15,000;15,000
XXXI;Sulawesi Barat;13,250;13,400;13,500;13,500;13,450;13,800;14,750;15,150;15,000;14,700;14,400;14,350;14,350;14,350
XXXII;Maluku;16,100;16,050;16,200;16,150;16,200;16,650;16,950;16,900;16,850;16,950;16,900;16,700;16,650;16,700
XXXIII;Maluku Utara;-;16,700;16,700;16,700;16,700;16,700;16,700;16,700;16,700;16,650;17,150;17,400;17,400;17,400
XXXIV;Papua;16,750;16,750;16,800;18,100;18,200;18,500;18,450;18,800;18,950;18,950;18,950;18,950;18,750;19,050
XXXV;Papua Barat;16,400;16,500;16,450;16,400;16,650;16,750;16,850;17,000;16,900;16,900;17,000;16,850;16,850;16,700
